Organisation Name	ID	Type	Membership Type	Guaranteed?	Network Member?	First Buyer Label	Membership Status	Money Status	Address	City	County	CountryName	Postcode	Language	LocalCurrencyId	Telephone1	Telephone2_tx	Fax	Email	Website	YearJoined	YearLeft	Publications_mm	FurtherInformation_mm	LastUpdatedOn_dt	OldId_tx	Username_tx	Email2_tx	Email3_tx	Telephone3_tx	ContactFullName_tx	ContactPosition_tx	ContactEmail	Comments	Website	PO/MO/NTO
"Asia Fairtrade Network Trading Co., Ltd (AFNTC)"	888	GS SAR Due	FTO	Guaranteed	KFTO		Member	Paid 2018	"1F, 13-1 Seoulsup 4 gil, Seongdong-gu"	Seoul		Korea	133-824			82 70 4465 3341			lunauhuru@gmail.com	asiafairtrade.net	2014							afn.sns@gmail.com	leekangbaek@gmail.com		Luna	General Manager	lunauhuru@gmail.com			MO
Assisi Garments	31	FTO PV Overdue	FTO		FTFI		Member	Pending	"Palangarai PO, Kulathupalayam"	"Avinashi, Coimbatore DT"	Tamilnadu	India		English	8	91 4296 302302	91 94430 42602	91 4296 272602	dgm@assisiorganics.com	www.assisiorganics.com	2004				7-May-10	ASSISI	assisi	ag@assisiorganics.com	erp@assisiorganics.com		Syril Kurian	General Manager	assisi@satyam.net.in			PO
Association for Craft Producers (ACP)	2	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	POB-3701 Ravi Bhawan Mode	Kathmandu		Nepal	NONE	Nepalese		977 1 4275108	977 1 4270721	977 1 4272676	program@craftacp.org.np	www.acp.org.np	2003				22-Oct-13	ACPNEP	acpnep	export@craftacp.org.np			Meera Bhattarai	Executive Director	ed@craftacp.org.np			PO
Auromira Exports	787	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"PLOT NO. “C” EDAYANCHAVADI ROAD, (Opp.Pasic), KARUVADIKUPPAM, LAWSPET, "	Pondicherry		India	605 008	English	8	0091 41 36547491	00 91 97866 95866	00 91 413 2622961	auromiraexports@vsnl.net	www.auromiraexports.com	2012			special case : will go directly to Registered member upon payment and signed contract logo	17-Sep-14			auromiraexpo@bsnl.in	auromiraexports@yahoo.com		Saravanan	President	auromiraexports@vsnl.net			PO
Baladarshan	703	GS SAR Overdue	FTO	Guaranteed	FTFI	RainTree	Member	Paid 2018	"245, Sathyavani Muthu NagarPallavan Salai"	Chennai		India	600002	English	8	0091 4428112520	91 44 67542188		balafairtrade.office@gmail.com	www.baladarshan.com	2010				17-Sep-14			kspchennai@gmail.com	balafairtrade@gmail.com		Philippe Malet	Managing partner/Production and Exporting manager	balafairtrade.office@gmail.com			PO
Bangladesh Hosto Shilpo Ekota Sheba Songshta (BaSE)	38	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"House # 71/1 Atim Khana Road, Maheshwar Pasha, Mankitala, Daulatpur"	Khulna		Bangladesh	9000			00 880 171 5684 374			base.bangladesh.1977@gmail.com	www.basebangladesh.org					19-Sep-14			base@khulna.bangla.net			Shourove Ansari	Coordinating Director	base.bangladesh.1977@gmail.com			PO/Int.
Barcelona Multi-Purpose Co-op (BMPC)	37	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"Guarina Street, Poblacion Norte, Sarsogonn"	Barcelona		Philippines	4712	English		00 63 9288214 379	00 63 9194375440		bmpci@yahoo.com	no website											Merly C Galias	Manager	bmpci@yahoo.com			PO
Beautiful Coffee	893	GS SAR Due	FTO	Guaranteed	KFTO		Member	Paid 2018	"88 Donhwamun-ro, Jongno-gu, 110-360"	Seoul		Korea	110-360			82 070 4942 0778	82 010 4084 0309		hansoojung21@gmail.com	www.beautifulcoffee.org	2014				3-Sep-12			dykim1411@bcoffee.org	sunghopark.bc@gmail.com		Han Soon	Trading Manager	hansoojung21@gmail.com			MO
Biansa Home	1018	Provisional SAR Due	FTO				Provisional	Paid 2018	Pesona Ketingan D1 Tirtoadi Mlati Sleman 	Yogyakarta	Indonesia	Indonesia	nettyfebriana@yahoo.com	biansahome@yahoo.co.id		62 85 327 855 994			nettyfebriana@yahoo.com	PO		8/12/16									Netty Febriana	Director	nettyfebriana@yahoo.com			PO
Biji_Biji Initiative	1031	FTO PV Due	FTO				Member	Pending	"No. 2 Jalan Sungkai off Jalan Ipoh, Taman Rainbow"	Kuala Lumpur	Malaysia	Malaysia	share@biji_biji.com	nora@biji_biji.com	rashvin@biji_biji.com	03_62429809			ambika@biji_biji.com	PO		1/25/17						nora@biji_biji.com	rashvin@biji_biji.com		Ambika Sangaran	Sustainability Manager	nora@biji_biji.com			PO
BODHI	590	FTO PV Overdue	FTO				Member	Pending	"889/4 GIDC. MakarpuraVadodara 390010GujaratIndia"	Varodara		India	390010	English	8	91 265 2632026	91982 4465633		bodhiindia@gmail.com	www.bodhi.in	2008				14-Jan-14		bdh			91 982 4099060	Mala Sinha	Monitoring Officer	bodhiindia@gmail.com			
Brac-Aarong	500	FTO Audit Due	FTO		ECOTA		Member	Paid 2018	"Aarong Central Service 346 Tejgaon Industrial Area"	Dhaka		Bangladesh	1208			880 2 9898267	880 2 8837233	880 2 9898267	export.aarong@brac.net	www.brac-aarong.com	2007				17-Oct-13		aarong	shahnaz.parveen@brac.net		880 2 8832348	Shahnaz Parveen	Export Manager	shahnaz.parveen@brac.net			Int.
C C Shroff Self Help Centre	518	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"Ram House4 - Gaiwadi Industrial Estate SV RoadGoregaon West"	Mumbai		India	400062			91 22 28726151		91 22 28769811	shroffshc@gmail.com	http://www.selfhelpcentre.org/	2007				17-Oct-13		ccshro	shroffshc@gmail.com			PA Isaac		shroffshc@gmail.com			PO
Café Timor	953	FTO PV Due	FTO		KFTO		Member	Paid 2018	"Mullae 2 ga 138gil 4, dorim St. "	Seoul		Korea				02 365 7891			peace_coffee@naver.com									soso1144@hanmail.net	247kor@gmail.com		Kansan KEUM	Manager	jjd0414@naver.com			MO
CFM Market Linkages	577	FTO Audit Overdue	FTO				Member	Pending	"R-15 Between R9 & R15, South Extension Part 2, Near Jain Mandir"	New Delhi		India	110049			011 64642060	91 11 2649 8820	91 11 2981 0476	arjun.adya@gmail.com	www.whycfm.org	2008				24-May-12		cfmovt	rahul@whycfm.org	info@whycfm.org		Arjun Adya	President	arjun@whycfm.org			Int.
Children-Nepal	62	FTO Audit Overdue	FTO		FTGN		Member	Paid 2018	"PO Box 357, Masbar"	Pokhara		Nepal		Nepalese	5	977 61 461554	977 61 461938	977 61 461575	cnsumu@ntc.net.np	http://www.children-nepal.net.np	2002				19-Feb-14	CHNEPA	chnepa	rampokhara@yahoo.com	children-nepal@fewanet.com.np		Ram Chandra Paudel	Executive Director	cnsumu@ntc.net.np			PO
Classical Handmade Products	898	GS SAR Due	FTO	Guaranteed	ECOTA		Member	Pending	"House # 496, Road #1, Baridhara D.O.H.S. "	Dhaka & Saidpur		Bangladesh	1212			0088 01713036940	880 2 8414524		tauhid@rugsbd.com	www.rugsbd.com								compliance@rugsbd.com	rajib@rugsbd.com		Md. Tauhid Bin Abdus Salam	Proprietor	tauhid@rugsbd.com			PO
Community Crafts Assocication of the Philippines (CCAP)	57	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"CCAP Building693 G. Araneta Avenue corner Kaliraya Street"	St. Quezon City		Philippines	1100	English		63 2 712 2160 	63 27122169	63 2 712 2169	vpalferez@ccapfairtrade.com	http://www.ccapfairtrade.com	1997				11-Apr-13	CCAPHI	ccaphi	czarina.gragera@ccapfairtrade.com	advocacy@ccapfairtrade.com		Voltaire Alferez	Executive Director	vpalferez@ccapfairtrade.com			Int.
Conserve India	1043	Provisional SAR Due	FTSO		FTFI		Provisional	Pending	"A116 Madhuban, Vikas Marg, 110092"	New Delhi	India	India	anita@conserveindia.org	shalabh@conserveindia.org	shailendra@conserveindia.org	91 11 43017210			kanika@conserveindia.org	PO		3/14/17						shalabh@conserveindia.org	anita@conserveindia.org		Kanika Ahuja	Officer	kanika@conserveindia.org			PO
CORR - The Jute Works (CJW)	74	GS SAR Due	FTO	Guaranteed	ECOTA		Member	Paid 2018	"House# 27, Road# 119, Block CES-B, Gulshan"	Dhaka		Bangladesh	1212	Bengali		880 2  883 7745	880 2 883 7746	880 2 988 3641	mail@cjwbd.com	www.cjwbd.com	1998		"Annual report, Product catalogues, Newsletter (Jute), Promotional CD, our website: http://cjw.bangla.net"		6-Jan-14	CORRJU	corrju	dev@cjwbd.com		880 1730024060	Bertha Gity Baroi	Director	mail@cjwbd.com			PO/Int.
Craft Link	75	FTO PV Overdue	FTO				Member	Paid 2018	43 Van Mieu St	Hanoi		Vietnam		English	22	84 4 3 7336101		84 473 361 01	craftlink@fpt.vn	http://www.craftlink.com.vn/	2002				29-Oct-13	CRAFTL	craftl	lancraftlink@yahoo.com			Tran Tuyet Lan	General Manager	craftlink@fpt.vn			PO/Int.
CraftBeauty Workshop	692	FTO Audit Overdue	FTO				Member	Paid 2018	"No. 35/97, Nam Duong Rd. Long Bien District"	Hanoi		Vietnam			22	84 462 535 533		84 48776713	vnhandmade@gmail.com	www.vnhandmade.com	2010				21-Mar-11			craftbeauty@yahoo.com	diepebiz@gmail.com		Hoai Nguyen	contact person	vnfairtrade@gmail.com			PO
CRC Exports	389	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"34, Ballygunje Circular Road"	Kolkata	West Bangel	India	700019	English	8	91 3324745789	91 3324760504	91 3324747747	iranisen@gmail.com	www.fairandsquare.co.in	2005				17-Oct-13		crcexp	crcwalia@gmail.com		91 9830748478	Irani Sen		crcwalia@gmail.com			PO
Creative Handicrafts	373	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	"D. P. oad, MIDC, Andheri East, Mahakali Caves Road"	Mumbai		India	400093	English	8	00 91 22 283 24692		0091 22 28379268	johnyjoseph@creativehandicrafts.org	www.creativehandicrafts.org	2005				16-Sep-13		creaha	jennie@creativehandicrafts.org	reggie@creativehandicrafts.org		Johny Joseph	Director	johnyjoseph@creativehandicrafts.org			PO
Crossroads Foundation Ltd.	675	FTO	FTSO				Member	Paid 2018	"2 Castle Peak RoadCastle Peak Bay"	Tuen Mun		Hong Kong				852 2984 7402		852 2771 1715	admin@crossroads.org.hk	www.crossroads.org.hk	2014			"or the organisation as a whole, the question is a moot one because it does not generate a profit in the medium or long-term. For profits made within Global Handicrafts, the Global Handicrafts management team, with input from and sign-off by our Managing D"	7-Jun-11			marketplace@crossroads.org.hk	jmarketplace@crossroads.org.hk		Joshua Begbie	Contact person	jmarketplace@crossroads.org.hk			MO
Danyun Fair Trade Development	332	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"Hua Er Dun Building 18/FQuingnian Road 387"	Kunming	Yunnan	China	650021	English		86 871 315 9299 ext.811	86 871 315 9299	86 871 315 9624	danyun@danyunfairtrade.com	www.danyunfairtrade.com	2002				17-Sep-13	YUNNAN	yunnan	danyun@danyun.com			Bitten Hogh	General Manager	bitten@danyunfairtrade.com			PO
Development Wheel (DEW)	84	GS SAR Due	FTSO	Guaranteed	ECOTA		Member	Pending	"13-A/4-A (3rd floor), Babar Road, Block-B, Mohammadpur"	Dhaka		Bangladesh	1207	Bengali		88 0 1715 12 0140		880 2 8115579	dewsalam@gmail.com	http://www.dewbd.org/	2001				9-May-13	DEVWHE	devwhe				Shah Abdus Salam	Executive Director	dewsalam@gmail.com			PO/Int.
Dhaka Handicrafts	468	FTO Audit Due	FTO		ECOTA		Member	Paid 2018	"House 562, Road 15, Mirpur DOHS, Mippur"	Dhaka		Bangladesh	1216	English	20	1787656825	880 2 9119563	880 2 9119163	tanudey@dhakahandicrafts.com	www.dhakahandicrafts.com	2013				27-Mar-14			info@dhakahandicrafts.com			Tanu Dey	Director	tarunpaul@dhakahandicrafts.com			PO/Int.
Earth Heir	4427	Provisional SAR Due	FTO				Provisional	Paid 2018	"Earth Heir Studio, 102, First Floor, Lorong Mamanda 2, 68000 Ampang"	Selangor	Malaysia	Malaysia				60 132117994 			team@earthheir.com	joanne@earthheir.com	Communications and Project Manager		joanne@earthheir.com					joanne@earthheir.com			Joanne Ng	Communications and Project Manager	joanne@earthheir.com			MO
ECOTA	92	FTN in GS	FTN		ECOTA		Member	Pending	"Fast Nahar 5th Floor Flat #5A, House #19/A/18/1 Block F, Tikkapara, Ring Road, Mohammadpur"	Dhaka		Bangladesh				1777515535			info@eftfbd.org	swapan@prokritee.com								swapan@prokritee.com			MD. Nuruzzaman		director@eftfbd.org			NTO
Equitable Marketing Association (EMA)	98	GS SAR Due	FTO	Guaranteed	FTFI		Member	Paid 2018	82 Baburam Ghosh Road	Kolkata		India	700 040	Bengali		0091 9830157873		0091 9433043514	emaswapna@emaindia.org.in	www.emaindia.org	1998			"The charitable trust, EKTA Trust, was established in 1999 to carry out social development activities."	22-Oct-13	EQMAAS	eqmaas	souvik@simplesolutions.co.in		0091 3218 245844	Swapna Das	Development Manager -Production	souvik1977@gmail.com			PO/Int.
ESAF Swasraya Producers Co 	642	FTO PV Overdue	FTO		FTFI		Member	Pending	"Hephzibah Complex, Mannuthy, Thrissur"	Kerala		India	680651	English		4872373813	91 487 237 3813		esafproducercompany@gmail.com	www.preranahandicrafts.com	2009				5-Mar-13		vnsfr	esafspclsri@gmail.com		91 487 237 5445	K Paul Thomas	Executive Director	esafpaul@gmail.com			PO
Fagi Corporation	947	FTO PV Due	FTO				Member	Pending	"51 Dinh Tien Hoang Street Da Kao Ward, Dist. 1"	Ho Chi Minh		Vietnam				84 8625 6747			grande@phangiahy.com												Phan Thi Thanh Tam		grande@phangiahy.com			PO
Fair Gift	916	FTO PV Due	FTO				Member	Paid 2018	"No.1, 8th St, Nagammai Nagar, Avadi"	Chennai		India				0091 9841430831			fairgift@hotmail.com	www.fairgift.in											Pl. Ramasamy (Ram)	CEO	fairgift@hotmail.com			Int.
Fair Trade Forum India (FTFI)	482	FTN in GS	FTN		FTFI		Member	Paid 2018	"Flat No.206, 2nd Floor Plot No.62-A/1, Garhi East of Kailash"	New Delhi		India	110065	"English, Hindi"	8	91 11 65264630			ftfindia@gmail.com	www.fairtradeforum.org	2006				5-May-14		fairtfi	searchindia2000@gmail.com	ed@fairtradeforum.org		Mallikarjuna Iytha	President	ftfindia@gmail.com			NTO
Fair Trade Group Nepal (FTGN)	116	FTN in GS	FTN		FTGN		Member	Pending	"Jhamsikhel, Laltipur GPO Box 13620"	Kathmandu	"Kupondole, Lalitpur"	Nepal		Nepalese	5	977 1 554 9848	977 1 5542608		ftgnepal@info.com.np	http://www.fairtradegroupnepal.org	1998				5-May-14	FTGNEP	ftgnep	fairtrade@info.com.np			Sunil Chitrakar	Chairperson	ftgnepal@info.com.np			NTO
Fair Trade Korea Company Limited	1030	FTO PV Due	FTO		KFTO		Member	Pending	"3rd floor, 245 Eunpyeong-ro, Eunpyeong-gu 03382"	Seoul	Korea	Korea	trade1@fairtradekorea.co.kr	ceo@fairtradekorea.co.kr		82-2-739-7934			trade1@fairtradekorea.co.kr	PO		12/23/16						ceo@fairtradekorea.co.kr	jjjj2300@naver.com		Jiyun Jeon	Trading Team Staff	trade1@fairtradekorea.co.kr			MO
FairTrade ChiangMai (FTCM)	729	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"172/1 Moo 8, T.Khilek, A.MaeRIm"	Chiang Mai		Thailand	50180	"Thai, English"	Baht	66 837934793			herman.leyten@gmail.com												Herman Leyten	Managing Director	herman.leyten@gmail.com			PO/Int.
Federation of South India Producer Associations (SIPA)	275	GS SAR Due	FTO	Guaranteed	FTFI		Member	Pending	"No. 21, Anna Street, Sathya Nagar Extension"	Chennai		India	600 070			0091 44 2248 6791 / 92 / 93		0091 44 2248 6794	sipa@vsnl.com	http://www.sipa.in	1991		"Annual report, Information brochure and our website: www.sipacrafts.com"	SIPA is on to networking of Self-Help Groups (SHGs) and NGOs at State Level for Micoro Finance and Micro Enterprises support for strengthening the economic empowerment process at grassroot level with full participation of the members SHGs.	27-Jun-12	SIPAIN	sipain	sipapanchu@gmail.com	sipafairtrade@gmail.com		Dr. K. Panchaksharam (Panchu)	Founder and CEO	sipapanchu@gmail.com			Int.
FOLK International / Export 	882	FTO PV Due	FTO		FTGN		Member	Pending	"PO Box 7355, Lazimpat, "	Kathmandu		Nepal				00977 01 442 6009	977 01  4415350	977 1 4415350	info@folknepal.com	http://folknepal.org											Dhan Kumar Rai	Chairperson	info@folknepal.com			PO
FOLK Nepal	1032	FTO PV Due	FTSO		FTGN		Member	Pending	"PO Box No 7355, Lazimpat-2"	Kathmandu		Nepal				01 4426009			folknepal@info.com.np									Arati@folknepal.com 	info@folknepal.com		Dhan Kumar Rai	Chairperson	folknepal@info.com.np			Int.
Forum Fair Trade Indonesia (FFTI)	909	FTN in GS	FTN		FFTI		Member	Pending	"Ruko Grya Sanur, Jl. Bypass Ngurah Rai Sanur, Sanur Kaja, Denpasar"	Denpasar		Indonesia				361 283555	8123673 3876		agungalit@mitrabali.com									info@forumfairtradeindonesia.org			Agung Alit	Secretary General	retno.hapsari@xsproject-id.org			NTO
Freeset Bags and Apparel	700	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	172 Ramamesh Dutta St.	Kolkata		India	700006		8	91 98 3646 8537			customercare@freesetglobal.com	http://freesetglobal.com/	2010				2-Apr-13		frest	fairtrade@freesetglobal.com		0091 3330956128	Rahul Sen	General Manager	fairtrade@freesetglobal.com			PO
Get Paper Industry (GPI)	125	GS SAR Due	FTO	Guaranteed	FTGN		Member	Pending	"PO Box 3245, Bansbari"	Kathmandu		Nepal		Nepalese	5	977 1 4370819	977 9851019071	 977 1 437234	mdb@ntc.net.np	www.gpicoop.org	2003				7-Mar-14	GETPAP	getpap	ratna@gpicoop.org	amisha@gpicoop.org		Ratna Prasad Shrestha	General manager	ratna@gpicoop.org			PO
Giang Pham Shoes	1053	Provisional SAR Due	FTO				Provisional	Pending	"196A, Dong Tu Quarter, Lai Thieu Town, Thuan An District"	Bin Doung	Vietnam	Vietnam	143-805			84 650 3636826			jxie@giangpham.com.vn												James Xie	Managing Director	jxie@giangpham.com.vn			PO
Godavari Delta Women Lace Artisans Coop Cottage Industrial Society	129	FTO PV Overdue	FTO		FTFI		Member	Paid 2018	"NARSAPUR - 534 275, W.G.DIST, ANDHRA PRADESH"	West Godavari District	Andhra Pradesh	India	534275	English	8	91 8814 274754		91 8814 275173	gdwlacci@yahoo.co.in	www.gdwlace.com	1998				22-Apr-13	GODAVA	godava				Kondapu Satya Sri	President	gdwlacci@yahoo.co.in			PO
Goel Community	983	GS SAR Due	FTO	Guaranteed	AAC		Member	Paid 2018	"Thnoat village, Thnoat quarter, Bati district"	Takeo		Cambodia				855 17 444 010			goelplus@gmail.com									panha@goelcommunity.org			BOPHAVANN Chetha Oudom	Commucation Officer	goelcommunity@gmail.com			PO
Golden Palm Crafts	131	GS SAR Due	FTO	Guaranteed			Member	Pending	45 Horton Place	Colombo		Sri Lanka	7	English		94 11 268 5386	94 77 734 7845	94 11 268 6877	ravi@goldenpalmcrafts.com	www.goldenpalmcrafts.com	1998				23-Aug-10	GOLPAL	golpal	ravi-gpc@sltnet.lk	goldenpalmsl@sltnet.lk		Ravi Jayawardena	Chairman	ravi@goldenpalmcrafts.com	COMPLAINTS HAD ABOUT IT.		PO
Gospel House Handicrafts	132	GS SAR Due	FTO	Guaranteed			Member	Pending	"Pradesiya Saba Road,  New Town"	Madampe		Sri Lanka	61230		25	94 0 777390042 /32  2247712	94 0 112508005	94 0 32 224 7646/ 32 22 47646	ghhlanka@sltnet.lk	http://www.woodbrix.com	1998				12-Sep-13	GOSPEL	gospel	gospelhh@sltnet.lk	ghhlanka@sltnet.lk		Shiran Karunaratne	Director	gospelhh@sltnet.lk			PO
Green Net Cooperative	136	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"6 Wattana-Nivej 7m Suthisarn Road, Sam-saen-nok, Huay-KwangSuthisarn Rd,  Sam-saen-nok,Huay-Kwang"	Bangkok		Thailand	10310	English	16	66 0 2 277 9380		66 0 2 277 9654	vitoon@greennet.or.th	www.greennet.or.th	2003				13-Jun-12	GRENET	grenet	info@greennet.or.th	michael@greennet.or.th	66 816822653	Vitoon Panyakul	Chair Person	vitoon@greennet.or.th			PO/Int.
Ha Linh Rattan and Bamboo Company Limited	949	FTO PV Due	FTO				Member	Paid 2018	"Phu Nghia Industrial Zone, Chuong My District"	Hanoi	Vietnam	Vietnam	halinh@handmadevn.vn	halinh@hanoihandmade.vn		84 91 324 85 53			halinh@handmadevn.vn			10/12/15	2/9/17								Thang Cong Dang	Director	halinh@handmadevn.vn			PO
Hatale Udhyog	878	GS SAR Due	FTO	Guaranteed	FTGN		Member	Paid 2018	"Sitapaila, VDC, 3KAP.O.Box 6750"	Kathmandu		Nepal	GP6750			977 01 4034706			reshu@wlink.com.np	http://www.hatale.com	2014							nepalipp@wlink.com.np			Bishnu Prasad Shrestha	MD	reshu@wlink.com.np			PO
Healthy Sweets Mindanao 	1041	Provisional SAR Due	FTO				Provisional	Paid 2018	"Purok 3, Brgy. Katipunan, Panabo City, Davao del Norte 8105"	Davao del Norte	Philippines	Philippines				6.39175E+11			healthysweets.dvo@gmail.com	PO		3/9/17									Betty M. More	Director	healthysweets.dvo@gmail.com			PO
Hidellana Tea Factory 	1063	Provisional SAR Due	FTO				Provisional	Pending	"Hidellana, Rathnapura 70000"	Rathnapura	Sri Lanka	Sri Lanka				94452262211			hidellanaqo@mails.rtstea.com									jayasinghe@rtstea.com	lalith@rtstea.com		Gihani Jayasinghe	Managing Consultant	hidellanaqo@mails.rtstea.com			PO
Hold The Future Centre	754	FTO Audit Due	FTO				Member	Pending	96/19B Co Nhue Tu Liem	Hanoi		Vietnam	10000		22	84 4 22426664	977 1 94 8242488	84 4 37525355	wfto@holdthefuture.org	http://www.holdthefuture.org/	2011				19-Oct-13			builanoanh@gmail.com	ketoan@holdthefuture.org	84 1685 601501	Mrs Hien	Accountant	hien@holdthefuture.org			PO
Homeland Development Initative Foundation (HDIF)	945	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"Melik Adamyan Street 2/2, Impact Hub,"	0010 Yerevan		Armenia				374 77 473 335			info@hdif.org									director@hdif.org	tim@hidf.org		Anahit Mkhoyan		director@hdif.org			Int.
Hong Kong Fair Trade Power (HKFTP)	839	GS SAR Due	FTO	Guaranteed			Member	Paid 2018	"2G, Metex House, 28 Fui Yiu Kok Street, Tsuen Wan"	Hong Kong		Hong Kong	N/A			852 31888064	852 94938420	852 31880064	info@hkfairtradepower.com	http://www.hkfairtradepower.com/	2014				3-May-13			joanne@hkfairtradepower.com	achiu89@gmail.com		Joanne Chung Yan Choi	Deputy Director	joannecychoi@gmail.com			MO
